modality,batch_size,lr,weight_decay,hidden_dim,num_layers,dropout,best_epoch,best_val_rmse,test_loss,test_mae,test_rmse,test_corr
text,32,0.0005,1e-05,256,2,0.2,4,0.7795923352241516,0.658171381964243,0.6193380951881409,0.8112776279449463,0.686437726020813
text,32,0.0005,1e-05,256,2,0.1,4,0.7801547050476074,0.6584912008466891,0.6186434030532837,0.8114747405052185,0.6863450407981873
text,32,0.001,1e-05,256,2,0.2,3,0.7808706760406494,0.6776242897142348,0.6196863651275635,0.8231794238090515,0.6777551770210266
text,32,0.001,1e-05,256,2,0.1,3,0.7835884690284729,0.6597695632173972,0.6124958992004395,0.8122619986534119,0.6860867738723755
text,32,0.001,1e-05,128,1,0.1,3,0.7899654507637024,0.676740966209327,0.618608832359314,0.8226426839828491,0.6714506149291992
text,32,0.001,1e-05,128,1,0.2,3,0.7914767265319824,0.6816780989909003,0.6235585808753967,0.8256379961967468,0.6671836972236633
text,32,0.0005,1e-05,256,1,0.1,3,0.7919942140579224,0.6583994827007595,0.6141968369483948,0.8114181756973267,0.6823108196258545
text,32,0.001,1e-05,256,1,0.2,3,0.792186439037323,0.6649216494631105,0.615309476852417,0.8154272437095642,0.6816673278808594
text,32,0.0005,1e-05,256,1,0.2,3,0.7931066155433655,0.656705295220547,0.6141963601112366,0.8103735446929932,0.6825265884399414
text,32,0.001,1e-05,128,2,0.1,3,0.7941997647285461,0.6728529779787288,0.6227321028709412,0.820276141166687,0.6756538152694702
text,32,0.001,1e-05,256,1,0.1,2,0.7955669164657593,0.6654719692890998,0.618401825428009,0.8157646059989929,0.6828057765960693
text,32,0.0005,1e-05,128,1,0.1,3,0.7965830564498901,0.6898404257502403,0.6269456744194031,0.8305663466453552,0.6622287631034851
text,32,0.001,1e-05,128,2,0.2,3,0.797332763671875,0.6799359655755105,0.630120038986206,0.8245823383331299,0.675387978553772
text,32,0.0005,1e-05,128,1,0.2,4,0.8005414009094238,0.6865401125380429,0.6330199241638184,0.8285771608352661,0.6662682294845581
text,32,0.0005,1e-05,128,2,0.2,3,0.8022210001945496,0.6806384090100694,0.627077579498291,0.8250080943107605,0.672856330871582
text,32,0.0005,1e-05,128,2,0.1,3,0.8111727833747864,0.6996521071424368,0.63671875,0.8364521265029907,0.6685023903846741
